Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Body,Excerpt,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1968900,Angels Four,David  Nott,"Nott, David",,"=""0130367982""","=""9780130367983""",4,4.86,Prentice Hall,Hardcover,191,1972,1972,,2013/01/14,,,read,,,,1,,,0,,,,,
188393,Cities of Gold: A Journey Across the American Southwest in Pursuit of Coronado,Douglas Preston,"Preston, Douglas",,"=""0671737597""","=""9780671737597""",5,4.30,Simon & Schuster,Hardcover,480,1992,1992,,2013/01/14,,,read,,,,1,,,0,,,,,
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",,"=""0441788386""","=""9780441788385""",5,3.91,Ace,Paperback,528,1991,1961,,2013/01/14,,,read,,,,1,,,0,,,,,
32831,"The Mysterious Island (Extraordinary Voyages, #12)",Jules Verne,"Verne, Jules","Caleb Carr, Jordan Stump","=""0812972120""","=""9780812972122""",5,4.09,Modern Library,Paperback,723,2004,1874,,2013/01/14,,,read,,,,1,,,0,,,,,
62659,Profit Over People: Neoliberalism and Global Order,Noam Chomsky,"Chomsky, Noam",Robert W. McChesney,"=""1888363827""","=""9781888363821""",0,4.05,Seven Stories Press,Paperback,175,2011,1998,,2013/01/14,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
38338,9-11,Noam Chomsky,"Chomsky, Noam","Greg Ruggiero, Marili Margomenou, Miguel Mora, Natalie Levisalles, Il Manifesto, Hartford Courant, David Barsamian, Radio B92, Elise Fried, Peter Kreysler, Gionarle del Popolo, Michael Albert","=""1583224890""","=""9781583224892""",5,3.72,Seven Stories Press,Paperback,140,2001,2001,,2013/01/14,,,read,,,,1,,,0,,,,,
194805,Understanding Power: The Indispensable Chomsky,Noam Chomsky,"Chomsky, Noam","Peter R. Mitchell, John Schoeffel","=""1565847032""","=""9781565847033""",4,4.40,The New Press,Paperback,416,2002,2002,,2013/01/14,,,read,,,,1,,,0,,,,,
89159,Judgment of Paris:  California vs. France and the Historic 1976 Paris Tasting That Revolutionized Wine,George M. Taber,"Taber, George M.",Robert G. Mondavi,"=""0743297326""","=""9780743297325""",5,3.93,Scribner,Paperback,336,2006,2005,,2013/01/14,,,read,,,,1,,,0,,,,,
5507552,Emergency: This Book Will Save Your Life,Neil Strauss,"Strauss, Neil",,"=""0060898771""","=""9780060898779""",2,3.80,It Books,Paperback,432,2009,2009,,2013/01/14,,,read,,,,1,,,0,,,,,
22163,The Wild Trees: A Story of Passion and Daring,Richard   Preston,"Preston, Richard",,"=""1400064899""","=""9781400064892""",5,4.07,Random House (NY),Hardcover,294,2007,2007,,2013/01/14,,,read,,,,1,,,0,,,,,
16690,The Moon is a Harsh Mistress,Robert A. Heinlein,"Heinlein, Robert A.",,"=""0340837942""","=""9780340837948""",5,4.17,Hodder & Stoughton,Paperback,288,2005,1966,,2013/01/14,,,read,,,,1,,,0,,,,,
34266,It's All Too Much: An Easy Plan for Living a Richer Life with Less Stuff,Peter Walsh,"Walsh, Peter",,"=""0743292642""","=""9780743292641""",3,3.84,Free Press,Hardcover,230,2007,2006,,2013/01/14,,,read,,,,1,,,0,,,,,
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""0307266303""","=""9780307266309""",5,4.28,Knopf,Hardcover,287,2009,2009,,2013/01/14,,,read,,,,1,,,0,,,,,
129356,Ghost Rider: Travels on the Healing Road,Neil Peart,"Peart, Neil",,"=""1550225480""","=""9781550225488""",5,4.09,ECW Press,Paperback,460,2002,2002,,2013/01/14,,,read,,,,1,,,0,,,,,
828,Interface,Neal Stephenson,"Stephenson, Neal","George F. Jewsbury, Stephen  Bury","=""0553383434""","=""9780553383430""",4,3.66,Spectra,Paperback,640,2005,1994,,2013/01/14,,,read,,,,1,,,0,,,,,
825,Zodiac,Neal Stephenson,"Stephenson, Neal",,"=""0553573861""","=""9780553573862""",4,3.71,Spectra,Mass Market Paperback,308,1995,1988,,2013/01/14,,,read,,,,1,,,0,,,,,
116257,"The System of the World (The Baroque Cycle, #3)",Neal Stephenson,"Stephenson, Neal",,"=""0060750863""","=""9780060750862""",5,4.31,William Morrow Paperbacks,Paperback,908,2005,2004,,2013/01/14,,,read,,,,1,,,0,,,,,
822,"The Confusion (The Baroque Cycle, #2)",Neal Stephenson,"Stephenson, Neal",,"=""0060733357""","=""9780060733353""",5,4.25,William Morrow Paperbacks,Paperback,815,2005,2004,,2013/01/14,,,read,,,,1,,,0,,,,,
